년,월,역사명,환승역구분,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,Y좌표 (WGS84),X좌표 (WGS84),X좌표 (GRS80TM),Y좌표 (GRS80TM),geometry
2025,8,간석역,일반역,538,7298,12980,24785,26932,16340,14747,14501,15236,15708,15504,16510,19969,22416,26828,21122,14310,11246,6531,2008,0,0,0,37.464689,126.693408,928671.0954612234,1940914.2465521134,POINT (928671.0954612234 1940914.2465521134)
2025,8,갈매역,일반역,7,2405,5222,16061,13347,8026,6809,4800,5254,6036,5243,6520,7050,9343,14292,10444,5441,5093,2091,514,0,0,0,37.634135,127.114803,966013.3407516405,1959477.5433543709,POINT (966013.3407516405 1959477.5433543709)
2025,8,강남,환승역,138,19575,73581,196818,370311,375484,211950,182087,201393,229367,229001,248200,284965,409757,501668,319592,228705,236772,96864,17023,39,1,0,37.49805,127.02795,958274.257106611,1944414.617740294,POINT (958274.257106611 1944414.617740294)
2025,8,강남구청,환승역,41,5771,29098,67893,170420,152439,77196,59192,61479,67512,66980,71772,82166,117783,169975,100064,62383,53370,18211,3655,0,0,0,37.517185,127.04122,959457.5841158917,1946531.725492398,POINT (959457.5841158917 1946531.725492398)
2025,8,강동,일반역,77,13302,31942,79709,114978,65778,47545,44086,48840,51408,48655,53384,60819,78560,99409,62708,44115,38884,18785,6920,1,0,0,37.53581,127.13249,967531.2253576679,1948562.6333189053,POINT (967531.2253576679 1948562.6333189053)
2025,8,강동구청,일반역,30,6373,17264,42739,67286,37329,27914,24641,26564,28256,26513,30630,34773,45542,61133,34165,23926,20882,9090,2267,0,0,0,37.530348,127.120461,966466.0377385821,1947960.8788988332,POINT (966466.0377385821 1947960.8788988332)
2025,8,강매역,일반역,0,2603,8017,18933,18860,9069,6659,5375,5420,5301,5159,6018,7570,9808,13834,10696,6789,6713,3284,925,0,0,0,37.612396,126.844537,942150.2040391938,1957197.9090317944,POINT (942150.2040391938 1957197.9090317944)
2025,8,강변(동서울터미널),일반역,49,10303,42752,84847,134016,106426,92901,83990,82954,84272,84097,94339,103280,123721,144890,98969,74445,63813,23524,4811,2,0,0,37.535161,127.094684,964190.8165949243,1948504.3551141364,POINT (964190.8165949243 1948504.3551141364)
2025,8,강일,일반역,6,3724,12154,32142,30825,18650,15654,13105,14742,13438,13253,15915,17725,22452,27930,21786,14056,11955,6421,1810,0,0,0,37.557521,127.176018,971385.1489313104,1950957.199478635,POINT (971385.1489313104 1950957.199478635)
2025,8,강촌역,일반역,15,207,486,864,1930,2077,2219,4685,2827,2135,2583,2355,2507,1854,1429,1042,824,660,234,53,0,0,0,37.805728,127.634054,1011800.5665691382,1978453.9367954032,POINT (1011800.5665691382 1978453.9367954032)
2025,8,개롱,일반역,12,4451,12302,28413,36689,22087,16987,16672,18238,18618,18600,19405,25636,28812,33238,25305,15582,13371,6377,1719,0,0,0,37.498097,127.134817,967720.5713082982,1944377.8183655378,POINT (967720.5713082982 1944377.8183655378)
