NODE_ID,ARS_ID,정류소명,정류소타입,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM)
121900014,22389,내방역3번출구,마을버스,126.9939998932,37.4867762516,955266.5747247218,1943179.459340805
121000308,22390,방일초교,일반차로,126.9949486673,37.4859520772,955349.9620584672,1943087.5721392636
121000310,22392,방배고개.방배초등학교,일반차로,126.9888061591,37.4863886439,954807.1810018072,1943138.9372917667
121000314,22396,동작대교전망카페,일반차로,126.9802792405,37.5057628053,954065.2096959512,1945292.5070158537
121000962,22401,청계산입구역,일반차로,127.0544463432,37.4484508233,960590.317239033,1938900.5185678164
121000981,22403,서초포레스타7단지,일반차로,127.0555729873,37.4475718103,960689.5106515688,1938802.5280158124
121000939,22404,반포한강공원.세빛섬,일반차로,126.9972655964,37.5126669883,955570.6276010268,1946050.328123788
121000944,22406,신논현역.주류성빌딩,일반차로,127.0257863714,37.501058785,958084.689026254,1944749.384649641
121000945,22407,신논현역.BSX빌딩,일반차로,127.0256744762,37.5012831839,958074.924124012,1944774.3301249947
121000947,22408,신논현역.유화빌딩,일반차로,127.0255490162,37.5015319154,958063.973910438,1944801.981205388
121000946,22409,신논현역.금강빌딩,일반차로,127.0255227411,37.5017311633,958061.7629244734,1944824.098206438
121000943,22410,신논현역.우신빌딩,일반차로,127.0253195719,37.5019951314,958043.9527468462,1944853.4743524056
121000942,22411,신논현역.인터파크,일반차로,127.0252427203,37.5021717639,958037.2588033169,1944873.1048755003
121000940,22413,신논현역.씨티은행,일반차로,127.0249635502,37.5027683529,958012.9175208174,1944939.4171719155
121001327,22415,내방역1번출구,일반차로,126.9953442808,37.4879838668,955386.1455932928,1943312.7984844756
121900017,22417,동덕여중고,마을버스,126.9924723,37.4741688,955123.986147949,1941781.472550226
121900018,22418,삼호교회,마을버스,126.9862027844,37.4936654408,954581.4306241276,1943947.504393563
121900019,22420,동부센트레빌2,마을버스,126.9880579276,37.4980323894,954748.0575372007,1944431.0964097104
121900021,22422,잔디마을,마을버스,127.0352320779,37.4635271111,958899.0373664508,1940581.3332724443
121900022,22423,방일초등학교,마을버스,126.9950041608,37.4852218926,955354.4335757488,1943006.5365872784
121000956,22424,네이처힐5단지,일반차로,127.0238954595,37.4633118929,957896.376077752,1940562.4633162727
121001328,22426,대법원앞,일반차로,127.0065302002,37.4916688995,956377.18115858,1943716.3867214727
121900266,22429,방배래미안타워,마을버스,126.9908068274,37.4746336482,954977.0015392696,1941833.83931187
121900025,22431,이수중앙시장,마을버스,126.9889556704,37.4921140295,954823.8470767715,1943774.0603930904
121900027,22433,방배신삼호아파트,마을버스,126.9916917922,37.4979488983,955069.2168307032,1944420.092663598
121900288,22434,헌인릉.꽃시장,마을버스,127.08362,37.461503,963177.1694751928,1940336.7583333503
121900028,22435,더케이호텔후문,마을버스,127.0343341849,37.4653349981,958820.6248437476,1940782.297729964
121900029,22437,삼성레포츠,마을버스,127.0208164268,37.4922064267,957640.3975457936,1943769.497269204
121900030,22439,원불교,마을버스,127.0424409464,37.4833310663,959547.2200730146,1942775.323715552
121900031,22440,양재역7번출구.프라자약국,마을버스,127.035091,37.48382,958897.6757108532,1942832.75093515
