역번호,역사명,노선번호,노선명,환승역구분,역사도로명주소,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM)
4108,증미,S1109,9호선,일반역,서울특별시 강서구 양천로 지하560,126.861067,37.55785,943567.9596217476,1951136.1887476817
4109,등촌,S1109,9호선,일반역,서울특별시 강서구 공항대로 지하529,126.864722,37.551111,943885.7281241004,1950386.3392370103
4110,염창,S1109,9호선,일반역,서울특별시 강서구 공항대로 지하631,126.874722,37.546944,944765.9650181652,1949918.107916261
4111,신목동,S1109,9호선,일반역,서울특별시 양천구 목동중앙로 지하217,126.883056,37.544167,945500.1360024866,1949605.149486821
4112,선유도,S1109,9호선,일반역,서울특별시 영등포구 양평로 지하124,126.893889,37.537778,946452.5463925472,1948890.0973281967
4113,당산,S1109,9호선,환승역,서울특별시 영등포구 양평로 지하40,126.902222,37.533844,947185.9657721188,1948448.927522684
4114,국회의사당,S1109,9호선,일반역,서울특별시 영등포구 국회대로 지하758,126.9175,37.528611,948532.202382496,1947859.883302004
4115,여의도,S1109,9호선,환승역,서울특별시 영등포구 의사당대로 지하101 (여의도동),126.924167,37.521744,949116.6179363691,1947094.3994649383
4116,샛강,S1109,9호선,환승역,서울특별시 영등포구 의사당대로 지하166,126.9284,37.5173,949487.6737497604,1946599.0810304445
4117,노량진,S1109,9호선,환승역,서울특별시 동작구 노량진로 지하130,126.940917,37.513667,950591.4158717562,1946189.373288188
4118,노들,S1109,9호선,일반역,서울특별시 동작구 노량진로 지하238 (본동),126.953096,37.512726,951667.1285939266,1946078.6487120695
4119,흑석(중앙대입구),S1109,9호선,일반역,서울특별시 동작구 현충로 지하90 (흑석동),126.963611,37.508889,952593.976583269,1945647.6065191687
4120,동작(현충원),S1109,9호선,환승역,서울특별시 동작구 현충로 지하220 (동작동),126.978278,37.502878,953886.5572401437,1944973.434145027
4121,구반포,S1109,9호선,일반역,서울특별시 서초구 신반포로 지하17,126.987222,37.501389,954676.1960516898,1944803.8937742105
4122,신반포,S1109,9호선,일반역,서울특별시 서초구 신반포로 지하105,127.004044,37.505933,956165.738178124,1945300.053941645
4123,고속터미널,S1109,9호선,환승역,서울특별시 서초구 신반포로 지하188,127.004044,37.505933,956165.738178124,1945300.053941645
4124,사평,S1109,9호선,일반역,서울특별시 서초구 사평대로 지하285,127.015219,37.504161,957152.4158102432,1945098.3147744152
4125,신논현,S1109,9호선,환승역,서울특별시 강남구 봉은사로 지하102,127.024417,37.504444,957965.5487247276,1945125.5636589
1953,대곡역,I41WS,서해선,환승역,경기도 고양시 덕양구 대주로 107번길 71-81(대장동 420-1),126.809802,37.631629,939100.2204399024,1959353.7256698024
1980,김포공항역,I41WS,서해선,환승역,서울특별시 강서구 하늘길 지하 77,126.804056,37.5621179,938536.0608175304,1951645.451715291
1981,원종역,I41WS,서해선,일반역,경기도 부천시 원종동 404,126.8048386,37.5240628,938573.9626827664,1947422.8951644995
1982,부천종합운동장역,I41WS,서해선,환승역,경기도 부천시 길주로 지하 502,126.797498,37.505852,937910.2360321146,1945407.3151818216
4804,소사역,I41WS,서해선,환승역,경기도 부천시 소사구 경인로 363,126.7950654,37.482755,937676.0397153676,1942846.4325857789
4805,소새울역,I41WS,서해선,일반역,경기도 부천시 소사로 지하 284,126.797228,37.4685046,937855.4406263076,1941264.0015304692
4806,시흥대야역,I41WS,서해선,일반역,경기도 부천시 소사로 지하 120,126.793142,37.4504787,937479.113461424,1939266.8382847435
4807,신천역,I41WS,서해선,일반역,경기도 시흥시 서해안로 지하 1670,126.786835,37.4391147,936911.7163412962,1938010.2760143024
4808,신현역,I41WS,서해선,일반역,경기도 시승시 신현로 12번길 지하 2-10,126.78788,37.4091399,936979.0414857093,1934684.068465489
4809,시흥시청역,I41WS,서해선,일반역,경기도 시흥시 시흥대로 지하 467,126.805946,37.3814109,938555.2286021672,1931595.8153355615
4810,시흥능곡역,I41WS,서해선,일반역,경기도 시흥시 시흥대로 지하 327,126.808594,37.3699903,938780.3778620532,1930327.065120192
4811,달미역,I41WS,서해선,일반역,경기도 안산시 단원구 순환로 지하 160,126.809318,37.3490003,938827.4493330464,1927997.920196432
4812,선부역,I41WS,서해선,일반역,경기도 안산시 단원구 선부광장로 34,126.81,37.33459,938876.1749784824,1926398.7738503704
4813,초지역,I41WS,서해선,환승역,경기도 안산시 단원구 중앙대로 620,126.808051,37.320083,938691.7336914932,1924790.6075310856
4814,시우역,I41WS,서해선,일반역,경기도 안산시 단원구 동산로 지하 50,126.795503,37.3130967,937574.1596743251,1924023.751899336
4815,원시역,I41WS,서해선,일반역,경기도 안산시 단원구 선단로 지하 70,126.7867897,37.302654,936793.3179745,1922871.0154766184
4126,언주,S1109,9호선,일반역,서울특별시 강남구 봉은사로 201,127.033868,37.507287,958802.4435328648,1945436.7971045263
4127,선정릉,S1109,9호선,환승역,서울특별시 강남구 선릉로 580,127.0437593,37.51028,959678.2686936472,1945764.5671708267
4128,삼성중앙,S1109,9호선,일반역,서울특별시 강남구 봉은사로 501,127.053282,37.513011,960521.3107566304,1946063.5163967356
4129,봉은사,S1109,9호선,일반역,서울특별시 강남구 봉은사로 601,127.060245,37.514219,961137.2952371716,1946194.6376021516
4130,종합운동장,S1109,9호선,환승역,서울특별시 송파구 올림픽로 23,127.076917,37.511156,962609.1379394736,1945848.0612196072
4131,삼전,S1109,9호선,일반역,서울특별시 송파구 백제고분로 지하 187,127.087211,37.504531,963515.6720687804,1945109.0193541264
4132,석촌고분,S1109,9호선,일반역,서울특별시 송파구 삼학사로 지하 53 ,127.096611,37.502439,964345.4992235427,1944873.32291172
4133,석촌,S1109,9호선,환승역,서울특별시 송파구 석촌동 209,127.106944,37.505078,965260.0327398814,1945162.237971762
4134,송파나루,S1109,9호선,일반역,서울특별시 송파구 백제고분로 지하 446,127.112451,37.51055,965749.2671090072,1945767.3018282529
4135,한성백제,S1109,9호선,일반역,서울특별시 송파구 위례성대로 지하 51,127.116211,37.516369,966084.2023281516,1946411.5202988288
4136,올림픽공원(한국체대),S1109,9호선,환승역,서울특별시 송파구 양재대로 지하 1233,127.130333,37.516111,967332.0689905508,1946377.899651961
4137,둔촌오륜,S1109,9호선,일반역,서울특별시 강동구 강동대로 지하 327,127.138619,37.519339,968065.6912887412,1946733.1805631795
4138,중앙보훈병원,S1109,9호선,일반역,서울특별시 강동구 명일로 지하 117,127.148488,37.528807,968941.7175687044,1947780.290620424
S401,샛강,L11SL,수도권 경량도시철도 신림선,환승역,서울특별시 영등포구 의사당대로 지하166 (여의도동),126.929403964,37.517219937,949576.3410009118,1946589.6599121145
S402,대방,L11SL,수도권 경량도시철도 신림선,환승역,서울특별시 영등포구 여의대방로 300 (신길동),126.925316781,37.512840166,949212.1848041572,1946105.9474159288
