상세영업상태명,도로명전체주소,사업장명,관광숙박업상세명,X좌표(Bessel),Y좌표(Bessel),X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM),geometry
영업중,"서울특별시 종로구 종로 62-1, 4층 (종로2가)",스테이울림,호스텔업,198549.377397696,451960.972726138,126.9843676269577,37.569934917542575,954465.5978819026,1952410.0636147491,POINT (954465.5978819026 1952410.0636147491)
영업중,"서울특별시 중구 을지로38길 30, 지상2층~지상3층 (을지로5가)",미리네 스테이,호스텔업,200212.624773672,451455.935226392,127.0031945456686,37.56538582233529,956125.5059520382,1951896.4076055118,POINT (956125.5059520382 1951896.4076055118)
영업중,"서울특별시 중구 퇴계로63길 22, 지상2층~지상5층 (을지로7가)",스테이 쉼,호스텔업,200710.77679721,451455.325218208,127.0088330017273,37.56538011156242,956623.4560844215,1951893.1565400665,POINT (956623.4560844215 1951893.1565400665)
영업중,"서울특별시 중구 명동8길 8-11, 3층 (명동2가)",무드온 명동,호스텔업,198513.571993372,451211.103380431,126.98396391548039,37.56317862154258,954425.8305911424,1951660.6816456239,POINT (954425.8305911424 1951660.6816456239)
영업중,"서울특별시 송파구 오금로11길 29-15, 호텔베네 롯데타워점 (방이동)",호텔베네 롯데타워점,관광호텔업,209664.305905648,445965.223882044,127.11010388077058,37.51586502594782,965544.2765444032,1946357.826684127,POINT (965544.2765444032 1946357.826684127)
영업중,"서울특별시 종로구 종로 248-1, 5층 (종로5가)",편안정 종로5가점,호스텔업,200401.722939568,452062.956830205,127.00533517895344,37.570854966100214,956317.7474889164,1952502.184498178,POINT (956317.7474889164 1952502.184498178)
영업중,"서울특별시 종로구 종로 248-1, 2층 (종로5가)",스테이 도손 동대문점,호스텔업,200401.722939568,452062.956830205,127.00533517895344,37.570854966100214,956317.7474889164,1952502.184498178,POINT (956317.7474889164 1952502.184498178)
영업중,서울특별시 강남구 학동로3길 49 (논현동),하로스테이 신사,호스텔업,201799.777259061,445833.24604916,127.02114583873282,37.51472418976065,957682.2291811854,1946267.5534815614,POINT (957682.2291811854 1946267.5534815614)
영업중,"서울특별시 강남구 강남대로 482, 3층 (논현동)",레이지타이거 HOSTEL,호스텔업,202098.026747912,444801.432607191,127.02451651330665,37.505426971342615,957974.8952847729,1945234.57372429,POINT (957974.8952847729 1945234.57372429)
영업중,"서울특별시 종로구 종로54길 9-9, 2층 (창신동)",동대문 스테이가든,호스텔업,201192.319848224,452214.352544411,127.01428463212866,37.572218394471754,957108.83166142,1952649.3272917813,POINT (957108.83166142 1952649.3272917813)
