,순번,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
2810,73977,202505,경강선,성남,1,0,247,20,1624,864,5038,1494,5170,1905,2632,1030,1915,910,1754,1204,1617,1227,1373,1376,1236,1383,1863,1840,2088,2188,2638,3216,1893,4403,1181,2458,1066,1841,957,1531,773,1085,299,548,15,124,0,0,0,0,0,0,20250603
2811,73978,202505,경부선,서울역,4,1,69,809,145,5695,12569,8773,23998,9972,21243,8065,15273,7144,20861,4863,20007,7096,19329,6397,6530,5851,22426,7299,18307,7881,22127,10445,29471,10802,26618,8127,16776,5784,23627,5327,17448,4390,10142,984,1531,150,0,0,0,0,0,0,20250603
2812,73979,202505,경부선,남영,135,2,2697,1527,5038,7809,13035,19693,19540,43996,12320,26582,10212,16918,10714,14140,12109,13144,12879,14136,12819,12962,17095,13794,22510,15116,27333,19215,35220,24940,16162,16198,15078,11025,15364,9855,12391,9215,5089,5273,336,1233,0,0,0,0,0,0,20250603
2813,73980,202505,경부선,용산,364,13,4106,5881,6431,40156,23715,91509,34901,146306,50979,116104,34757,89955,59629,80785,56127,86994,69968,88742,57450,84676,107289,85247,114376,90760,130807,97996,162348,94092,108234,65397,114159,45372,110215,30503,78960,16904,28770,7367,1096,2148,0,0,0,0,0,0,20250603
2814,73981,202505,경부선,노량진,370,21,4881,2162,7914,6139,18635,8816,24117,14247,14449,12547,12119,10002,12589,12407,13692,13396,15146,12903,15196,11948,15614,14174,17282,19289,19853,27553,19557,38331,16065,21963,16616,13891,17394,12535,14871,11401,5153,7312,348,1632,0,0,0,0,0,0,20250603
2815,73982,202505,경부선,대방,536,5,5046,2167,9973,9380,25082,32190,30944,42297,19654,20375,14999,11971,14658,11845,15494,13018,14991,13907,15085,13254,15723,15124,16410,18093,28970,24708,35556,32808,13188,20281,10212,15416,8475,15152,6016,13699,2030,8538,149,2235,0,0,0,0,0,0,20250603
2816,73983,202505,경부선,영등포,4337,122,15544,7758,16405,26805,41302,58277,61139,121526,41806,93753,45023,77136,51998,84461,60501,90375,64780,93821,65211,84050,92072,81306,104478,83108,120949,92956,158957,104770,96148,67686,96898,42570,72036,33716,57905,28097,23537,15863,771,4399,0,0,0,0,0,0,20250603
2817,73984,202505,경부선,신도림,559,7,2017,915,3528,3316,8754,7415,10571,15037,7215,8744,5315,5743,5034,5564,5360,5682,5300,6309,5518,6093,6024,7309,6637,7968,10532,10467,13733,13823,7075,7939,5844,5518,4517,4724,3508,3944,1706,2768,92,1348,1,1,0,0,0,0,20250603
2818,73985,202505,경부선,신길,817,5,8900,1684,10667,6373,24294,20393,31368,29946,18762,12567,12803,7648,11257,7296,13491,8290,11891,9462,10535,9228,11652,11176,13541,13091,19464,16753,27749,22217,11003,15825,8066,12006,6813,12553,4882,10451,1980,6602,168,1780,0,0,0,0,0,0,20250603
2819,73986,202505,경부선,구로,11881,104,21296,4539,18152,14433,36776,31021,37158,65563,28163,38111,23200,28880,22995,27311,25602,24843,26621,25918,26504,25167,30295,28485,36188,32027,51889,39858,53807,41487,24798,28528,20603,20897,17677,19786,11880,17205,4759,13603,30,12511,0,1,0,0,1,0,20250603
