,노드링크 유형,노드 WKT,노드 ID,노드 유형 코드,링크 WKT,링크 ID,링크 유형 코드,시작노드 ID,종료노드 ID,링크 길이,시군구코드,시군구명,읍면동코드,읍면동명,지하철역코드,지하철역명,리프트,엘리베이터
2579,LINK,,0,,"LINESTRING(127.0590201731977 37.634063454381206,127.05885549077509 37.6333969984844)",112161,1000.0,40380.0,213363.0,75.384,1135000000,노원구,1135010200,월계동,96,월계,0,0
2580,NODE,POINT(127.0675618659802 37.6154629113245),190114,0.0,,0,,,,,1135000000,노원구,1135010200,월계동,191,석계,0,0
2581,NODE,POINT(127.0665576142481 37.61522776544068),190112,0.0,,0,,,,,1135000000,노원구,1135010200,월계동,191,석계,0,0
2582,LINK,,0,,"LINESTRING(127.05849677148956 37.634480222596935,127.05885549077509 37.6333969984844)",112674,1000.0,40376.0,213363.0,124.326,1135000000,노원구,1135010200,월계동,96,월계,0,0
2583,LINK,,0,,"LINESTRING(127.0588129905381 37.63228570082214,127.05894637781154 37.63171548657173)",184850,1000.0,213364.0,40323.0,64.374,1135000000,노원구,1135010200,월계동,96,월계,0,0
2584,LINK,,0,,"LINESTRING(127.0588129905381 37.63228570082214,127.05872948619533 37.63195944024424)",168099,1000.0,213364.0,213365.0,36.954,1135000000,노원구,1135010200,월계동,96,월계,0,0
2585,LINK,,0,,"LINESTRING(127.05871905058927 37.63171331141819,127.0588129905381 37.63228570082214)",267028,1000.0,40313.0,213364.0,64.068,1135000000,노원구,1135010200,월계동,96,월계,0,0
2586,LINK,,0,,"LINESTRING(127.07522311614989 37.61835324108867,127.07518573385813 37.61849714988894)",37939,1000.0,127779.0,215019.0,16.31,1135000000,노원구,1135010300,공릉동,95,태릉입구,0,0
2587,LINK,,0,,"LINESTRING(127.07518573385813 37.61849714988894,127.07537660362185 37.6185332781058)",52527,1000.0,215019.0,215020.0,17.322,1135000000,노원구,1135010300,공릉동,95,태릉입구,0,0
2588,LINK,,0,,"LINESTRING(127.0756433092504 37.617515842225835,127.0760783186759 37.61765469753158)",57467,1000.0,215025.0,28491.0,41.382,1135000000,노원구,1135010300,공릉동,95,태릉입구,0,0
2589,LINK,,0,,"LINESTRING(127.075487706284 37.618553597700576,127.075594342215 37.61844225571604)",87930,1000.0,215021.0,127777.0,15.535,1135000000,노원구,1135010300,공릉동,95,태릉입구,0,0
