자치구,기초지자체명,현지인방문자수,자치구내 현지인방문자 비율,외지인방문자수,자치구내 외지인방문자 비율,외국인 방문자수
서대문구,홍제3동,5361251.0,7.0,2014404.0,2.0,27279.0
서초구,내곡동,4265870.0,2.3,5100596.0,2.2,61239.0
서초구,반포1동,8352060.0,4.5,7018070.0,3.0,423551.0
서초구,반포2동,9586952.0,5.2,7629142.0,3.3,343869.0
서초구,반포3동,8055520.0,4.3,9306654.0,4.0,487232.0
서초구,반포4동,15595724.0,8.4,27127275.0,11.6,545202.0
서초구,반포본동,1064560.0,0.6,2789706.0,1.2,90420.0
서초구,방배1동,6935170.0,3.7,4536175.0,1.9,74038.0
서초구,방배2동,3272850.0,1.8,7679196.0,3.3,77037.0
서초구,방배3동,3962018.0,2.1,3379596.0,1.4,46547.0
서초구,방배4동,7994560.0,4.3,5577400.0,2.4,49619.0
서초구,방배본동,4907550.0,2.6,3706154.0,1.6,59079.0
서초구,서초1동,12085325.0,6.5,11447334.0,4.9,267868.0
서초구,서초2동,16054920.0,8.6,19836372.0,8.5,751163.0
서초구,서초3동,32190126.0,17.3,40700548.0,17.4,396950.0
서초구,서초4동,13681031.0,7.4,21397747.0,9.1,866160.0
서초구,양재1동,15688617.0,8.4,22136510.0,9.4,151225.0
서초구,양재2동,14123235.0,7.6,24932754.0,10.6,173937.0
서초구,잠원동,8098276.0,4.4,9999216.0,4.3,512071.0
성동구,금호1가동,3838240.0,4.4,1324992.0,1.4,31554.0
성동구,금호2.3가동,4569128.0,5.2,1518570.0,1.6,24524.0
성동구,금호4가동,5247834.0,5.9,2294558.0,2.4,77563.0
성동구,마장동,4591142.0,5.2,3370300.0,3.5,166826.0
성동구,사근동,5639641.0,6.4,6356182.0,6.6,257086.0
성동구,성수1가1동,6490130.0,7.4,8471880.0,8.8,1111557.0
성동구,성수1가2동,7772877.0,8.8,10284785.0,10.7,835552.0
성동구,성수2가1동,5116590.0,5.8,7246596.0,7.5,1224184.0
성동구,성수2가3동,10148400.0,11.5,22984836.0,23.9,2227828.0
성동구,송정동,1149736.0,1.3,1643940.0,1.7,65221.0
성동구,옥수동,6098452.0,6.9,6509388.0,6.8,212178.0
성동구,왕십리2동,2359784.0,2.7,915964.0,1.0,52758.0
성동구,왕십리도선동,6933504.0,7.9,6291394.0,6.5,155559.0
성동구,용답동,2440924.0,2.8,3139906.0,3.3,221789.0
성동구,응봉동,3316187.0,3.8,1621518.0,1.7,48859.0
성동구,행당1동,8838938.0,10.0,11275635.0,11.7,223340.0
성동구,행당2동,3653006.0,4.1,1086386.0,1.1,42842.0
성북구,길음1동,9453518.0,7.0,2644971.0,3.6,28052.0
성북구,길음2동,5527204.0,4.1,2695665.0,3.7,37728.0
성북구,돈암1동,3751766.0,2.8,1400752.0,1.9,19096.0
성북구,돈암2동,4352520.0,3.2,788172.0,1.1,21787.0
성북구,동선동,11882892.0,8.8,7552608.0,10.4,229128.0
성북구,보문동,5634405.0,4.2,3257300.0,4.5,59841.0
성북구,삼선동,11592066.0,8.6,6237074.0,8.6,127085.0
성북구,석관동,5398824.0,4.0,4255454.0,5.8,76796.0
성북구,성북동,6951668.0,5.2,6575569.0,9.0,186534.0
성북구,안암동,7609203.0,5.7,8049128.0,11.0,280770.0
성북구,월곡1동,12932794.0,9.6,7323568.0,10.1,39614.0
성북구,월곡2동,9350607.0,7.0,4529620.0,6.2,38122.0
성북구,장위1동,5709042.0,4.2,2612186.0,3.6,17502.0
성북구,장위2동,3411838.0,2.5,2041204.0,2.8,16911.0
성북구,장위3동,2295272.0,1.7,1560531.0,2.1,19586.0
성북구,정릉1동,4347690.0,3.2,1140962.0,1.6,30793.0
성북구,정릉2동,7805497.0,5.8,2377088.0,3.3,43842.0
성북구,정릉3동,3705317.0,2.8,2157792.0,3.0,96696.0
성북구,정릉4동,4652004.0,3.5,1920964.0,2.6,65379.0
성북구,종암동,8146439.0,6.1,3743145.0,5.1,122714.0
송파구,가락1동,12563064.0,5.2,6753526.0,3.8,67807.0
송파구,가락2동,6429916.0,2.7,1959044.0,1.1,26566.0
송파구,가락본동,14633269.0,6.0,7587797.0,4.3,56839.0
