,상세영업상태명,도로명전체주소,사업장명,문화체육업종명,좌표정보x(epsg5174),좌표정보y(epsg5174),지역구분명,지상층수,지하층수,객실수,주변환경명,건물용도명,시설면적,관광숙박업상세명
92,폐업,"서울특별시 강남구 테헤란로63길 9 (삼성동, 그린그래스관광호텔)",그린그래스관광호텔,관광숙박업,204369.881017555,444844.447866296,상업지역,10.0,3.0,0.0,기타,호텔,8360.61,
93,폐업,"서울특별시 강남구 봉은사로 125 (논현동, 다이내스티관광호텔)",다이내스티관광호텔,관광숙박업,202355.753693054,444839.725721091,,0.0,0.0,0.0,,,5682.6,
94,폐업,"서울특별시 강남구 도산대로 551 (청담동, 엘루이호텔)",호텔엘루이,관광숙박업,204727.226766126,447092.815391301,,13.0,5.0,0.0,,호텔,17318.29,
95,폐업,"서울특별시 강남구 봉은사로 130 (역삼동, 노보텔 앰배서더 강남 서울)",노보텔앰버서더강남,관광숙박업,202482.701418444,444787.812950605,,16.0,6.0,0.0,,호텔,41813.27,
96,폐업,"서울특별시 강남구 도산대로 144 (논현동, 영동관광호텔)",영동관광호텔,관광숙박업,202108.433846703,446160.618240423,,0.0,0.0,0.0,,,7921.25,
97,폐업,서울특별시 강남구 압구정로 206  (신사동),팝그린 관광호텔,관광숙박업,202545.595431159,447231.954885143,주거지역,5.0,2.0,0.0,기타,호텔,5297.78,
98,폐업,서울특별시 강남구 도산대로 549  (청담동),블루펄관광호텔,관광숙박업,204690.660161464,447075.512360873,,10.0,2.0,0.0,,,4997.88,
99,폐업,서울특별시 강서구 월정로20길 56 (화곡동),레인보우 관광호텔,관광숙박업,185926.230742895,447510.515881586,,11.0,1.0,0.0,,,3783.65,관광호텔업
100,폐업,서울특별시 강서구 공항대로 518 (등촌동),스탠다드호텔,관광숙박업,187875.483372424,449872.25932155,준주거지역,11.0,3.0,50.0,기타,호텔,2913.08,관광호텔업
101,폐업,서울특별시 중구 다동길 30 (다동),에이퍼스트호텔명동,관광숙박업,198260.880732247,451708.909162308,,0.0,0.0,0.0,,,6313.74,관광호텔업
102,폐업,"서울특별시 중구 퇴계로 329, 3~6층 (광희동2가)",서울호스텔,관광숙박업,200647.159357664,451357.621131056,,0.0,0.0,15.0,,,313.28,호스텔업
103,폐업,"서울특별시 중구 퇴계로 52 (회현동1가, 인송빌딩)",티마크그랜드호텔명동,관광숙박업,198043.635511275,450686.849956646,,0.0,0.0,576.0,,,27174.04,관광호텔업
104,폐업,"서울특별시 중구 수표로6길 33, 2-5층 (충무로3가)",아트뷰호텔,관광숙박업,199245.264836491,451184.789734499,,0.0,0.0,23.0,,,363.57,호스텔업
105,폐업,"서울특별시 영등포구 버드나루로 23 (영등포동2가, 도도관광호텔)",도도관광호텔,관광숙박업,192165.93453037,446508.000792709,,0.0,0.0,55.0,,,4357.06,관광호텔업
106,폐업,서울특별시 송파구 오금로11길 29-5 (방이동),IM HOTEL,관광숙박업,209681.364622247,445914.984531881,,5.0,1.0,20.0,,,559.0,소형호텔업
107,폐업,서울특별시 송파구 백제고분로7길 23-6 (잠실동),호텔포레스타1호점,관광숙박업,207148.374688088,445418.562120928,,13.0,1.0,53.0,,,1996.0,관광호텔업
108,폐업,,HOTEL BELUGA,관광숙박업,208684.121024333,444900.075661195,,0.0,0.0,0.0,,,0.0,
109,폐업,서울특별시 송파구 위례성대로 10  (방이동),올림피아나 관광호텔,관광숙박업,209966.124550614,446059.613892034,,0.0,0.0,0.0,,,0.0,
110,폐업,서울특별시 송파구 위례성대로 10  (방이동),올림피아나관광호텔,관광숙박업,209966.124550614,446059.613892034,일반상업지역,7.0,3.0,0.0,,,6641.46,
111,폐업,서울특별시 송파구 백제고분로51길 23 (방이동),필름 37.2,관광숙박업,209906.961485974,446035.154945848,일반상업지역,7.0,5.0,83.0,,,6976.0,관광호텔업
112,폐업,서울특별시 영등포구 은행로 62 (여의도동),여의도 관광호텔,관광숙박업,193321.88651945,447552.076521358,,0.0,0.0,107.0,,,5619.46,관광호텔업
113,폐업,서울특별시 영등포구 선유동2로 72  (당산동5가),영등포관광호텔,관광숙박업,190981.422688886,448051.590520012,,0.0,0.0,0.0,,,0.0,
114,폐업,서울특별시 영등포구 버드나루로 74 (영등포동7가),영등포 칸 관광호텔,관광숙박업,191969.784420726,446983.129753485,,17.0,3.0,59.0,,호텔,3469.8,관광호텔업
115,폐업,서울특별시 영등포구 양평로28길 11 (양평동6가),토브 호텔 앤 레지던스,관광숙박업,190256.76581931,448739.129269078,준공업지역,12.0,2.0,149.0,학교정화(상대),호텔,7817.08,가족호텔업
116,폐업,서울특별시 성동구 성수이로 96 (성수동2가),호텔 포코(POCO),관광숙박업,204971.645551467,449023.019693526,준공업지역,11.0,2.0,80.0,기타,호텔,3177.53,관광호텔업
117,폐업,서울특별시 성동구 천호대로 302 (용답동),호텔 이노스테이,관광숙박업,204679.563699077,451488.295399038,준주거지역,6.0,1.0,54.0,기타,숙박시설,3454.0,관광호텔업
118,폐업,"서울특별시 종로구 종로 382, 2층 (숭인동)",호스텔코리아 10호점,관광숙박업,201687.573879734,452408.346754198,일반상업지역,0.0,0.0,9.0,,,235.14,호스텔업
119,폐업,서울특별시 종로구 삼일대로17길 8 (관철동),24게스트하우스 인사동,관광숙박업,198797.140043517,451887.51214766,녹지지역,5.0,2.0,25.0,,,446.49,호스텔업
120,폐업,서울특별시 종로구 율곡로 164 (원남동),고궁호텔,관광숙박업,199642.716240024,452606.614384676,일반상업지역,7.0,2.0,58.0,학교정화(상대),호텔,2704.0,관광호텔업
121,폐업,서울특별시 은평구 통일로 863-24 (갈현동),타오 호텔,관광숙박업,192824.052598114,457573.821408994,일반상업지역,5.0,1.0,0.0,,숙박시설,987.47,소형호텔업
122,폐업,서울특별시 은평구 연서로28길 21-1 (대조동),폼호텔,관광숙박업,193057.462427303,457194.965351596,,0.0,0.0,0.0,,,1189.06,관광호텔업
123,폐업,서울특별시 중구 퇴계로 176 (남학동),아스토리아호텔,관광숙박업,199161.680844774,450949.674631487,,0.0,0.0,0.0,,,4170.0,관광호텔업
